Dates,0.5yr_SpotRate,0.5yr_ForwardRate,0.5yr_Spread,0.5yr_Carry,0.5yr_Carry_bps,0.75yr_SpotRate,0.75yr_ForwardRate,0.75yr_Spread,0.75yr_Carry,0.75yr_Carry_bps,1.0yr_SpotRate,1.0yr_ForwardRate,1.0yr_Spread,1.0yr_Carry,1.0yr_Carry_bps,2.0yr_SpotRate,2.0yr_ForwardRate,2.0yr_Spread,2.0yr_Carry,2.0yr_Carry_bps,3.0yr_SpotRate,3.0yr_ForwardRate,3.0yr_Spread,3.0yr_Carry,3.0yr_Carry_bps,4.0yr_SpotRate,4.0yr_ForwardRate,4.0yr_Spread,4.0yr_Carry,4.0yr_Carry_bps,5.0yr_SpotRate,5.0yr_ForwardRate,5.0yr_Spread,5.0yr_Carry,5.0yr_Carry_bps,6.0yr_SpotRate,6.0yr_ForwardRate,6.0yr_Spread,6.0yr_Carry,6.0yr_Carry_bps,7.0yr_SpotRate,7.0yr_ForwardRate,7.0yr_Spread,7.0yr_Carry,7.0yr_Carry_bps,8.0yr_SpotRate,8.0yr_ForwardRate,8.0yr_Spread,8.0yr_Carry,8.0yr_Carry_bps,9.0yr_SpotRate,9.0yr_ForwardRate,9.0yr_Spread,9.0yr_Carry,9.0yr_Carry_bps,10.0yr_SpotRate,10.0yr_ForwardRate,10.0yr_Spread,10.0yr_Carry,10.0yr_Carry_bps,12.0yr_SpotRate,12.0yr_ForwardRate,12.0yr_Spread,12.0yr_Carry,12.0yr_Carry_bps,15.0yr_SpotRate,15.0yr_ForwardRate,15.0yr_Spread,15.0yr_Carry,15.0yr_Carry_bps,20.0yr_SpotRate,20.0yr_ForwardRate,20.0yr_Spread,20.0yr_Carry,20.0yr_Carry_bps,30.0yr_SpotRate,30.0yr_ForwardRate,30.0yr_Spread,30.0yr_Carry,30.0yr_Carry_bps
6/26/2025,2.5075,1.5932308148332197,0.9142691851667801,91426918.51667802,9142.691851667802,2.48,1.0990929170562325,1.3809070829437675,138090708.29437676,13809.070829437675,2.4425,0.8589147472472776,1.5835852527527223,158358525.27527222,15835.852527527224,2.393,0.48290923993414503,1.9100907600658548,191009076.00658548,19100.90760065855,2.405,0.3429890412897212,2.0620109587102786,206201095.87102786,20620.109587102786,2.443,0.2616181487043139,2.1813818512956864,218138185.12956864,21813.818512956863,2.47,0.21066756774066886,2.259332432259331,225933243.2259331,22593.32432259331,2.5,0.1795600016802541,2.320439998319746,232043999.8319746,23204.399983197458,2.53,0.15331828245635237,2.376681717543647,237668171.75436473,23766.817175436474,2.555,0.13594747932015427,2.4190525206798457,241905252.06798458,24190.52520679846,2.582,0.12062924334717295,2.461370756652827,246137075.66528273,24613.707566528272,2.6025,0.10653469435886742,2.495965305641133,249596530.5641133,24959.653056411327,2.625,0.08477600840626054,2.5402239915937397,254022399.15937397,25402.239915937396,2.61,0.06098268939604612,2.5490173106039538,254901731.0603954,25490.173106039536,2.4975,0.038316586471413894,2.459183413528586,245918341.3528586,24591.83413528586,2.3,0.03447156082203451,2.2655284391779653,226552843.91779652,22655.284391779653
6/25/2025,2.5125,1.5885333607016516,0.9239666392983485,92396663.92983486,9239.666392983485,2.4825,1.105787075868764,1.376712924131236,137671292.41312358,13767.12924131236,2.4475,0.8666193769744224,1.5808806230255774,158088062.30255774,15808.806230255774,2.4075,0.486258471941879,1.9212415280581212,192124152.80581212,19212.415280581212,2.425,0.34773893297010994,2.07726106702989,207726106.702989,20772.610670298902,2.4725,0.2642231659247767,2.2082768340752237,220827683.40752238,22082.768340752238,2.5025,0.21190665359753913,2.290593346402461,229059334.6402461,22905.93346402461,2.5355,0.1804486885885983,2.3550513114114016,235505131.14114016,23550.513114114015,2.5675,0.15468732040629152,2.412812679593708,241281267.95937082,24128.12679593708,2.595,0.13514361375704786,2.4598563862429526,245985638.62429526,24598.563862429524,2.62,0.12159467447321437,2.498405325526786,249840532.55267859,24984.05325526786,2.645,0.10788390148720972,2.53711609851279,253711609.85127902,25371.1609851279,2.6675,0.08449691434784645,2.5830030856521535,258300308.56521535,25830.030856521535,2.655,0.06149668530555519,2.593503314694445,259350331.46944448,25935.03314694445,2.54,0.03789173747505292,2.5021082625249473,250210826.25249472,25021.082625249473,2.34,0.03596580114911041,2.3040341988508892,230403419.88508892,23040.34198850889
6/24/2025,2.5075,1.5864370689386158,0.921062931061384,92106293.10613841,9210.62931061384,2.4775,1.0984996223308667,1.3790003776691333,137900037.76691332,13790.003776691334,2.44,0.8641678622180686,1.5758321377819313,157583213.77819315,15758.321377819313,2.405,0.4880313346192906,1.9169686653807092,191696866.53807092,19169.686653807094,2.4225,0.3474677106167585,2.075032289383241,207503228.93832412,20750.32289383241,2.47,0.26339833498325893,2.2066016650167413,220660166.50167412,22066.016650167414,2.4975,0.21118500077282243,2.2863149992271774,228631499.92271775,22863.149992271774,2.53,0.1806962034075119,2.349303796592488,234930379.6592488,23493.03796592488,2.5625,0.15471228315756536,2.4077877168424346,240778771.68424347,24077.877168424347,2.59,0.13533509731896598,2.454664902681034,245466490.26810342,24546.64902681034,2.615,0.12080116345967085,2.4941988365403294,249419883.65403295,24941.988365403293,2.6375,0.10720101473241805,2.5302989852675823,253029898.52675822,25302.989852675822,2.66,0.08473109631028497,2.5752689036897154,257526890.36897153,25752.689036897154,2.6475,0.061384427769105354,2.5861155722308946,258611557.22308946,25861.155722308948,2.5325,0.03793616570649716,2.494563834293503,249456383.42935032,24945.63834293503,2.335,0.03599920381071686,2.299000796189283,229900079.61892828,22990.00796189283
6/23/2025,2.5275,1.6015821420648004,0.9259178579351994,92591785.79351994,9259.178579351994,2.5,1.140509494554979,1.359490505445021,135949050.5445021,13594.90505445021,2.4775,0.8910253481109853,1.5864746518890147,158647465.18890148,15864.746518890148,2.45,0.4884658968976856,1.9615341031023146,196153410.31023145,19615.341031023145,2.47,0.3475568665441393,2.122443133455861,212244313.34558612,21224.431334558612,2.514,0.2631225230032306,2.250877476996769,225087747.69967693,22508.77476996769,2.5425,0.21137106244292192,2.331128937557078,233112893.75570777,23311.289375570777,2.574,0.1800123647908911,2.3939876352091085,239398763.52091086,23939.876352091083,2.605,0.15368155272692197,2.451318447273078,245131844.72730777,24513.184472730776,2.63,0.134516080351619,2.4954839196483807,249548391.96483806,24954.83919648381,2.655,0.12242318666876995,2.5325768133312296,253257681.33312297,25325.768133312296,2.6825,0.10846399822780484,2.5740360017721953,257403600.17721954,25740.360017721952,2.705,0.08429946713637526,2.6207005328636246,262070053.28636247,26207.005328636245,2.6925,0.061672409480135304,2.6308275905198646,263082759.05198646,26308.275905198647,2.5775,0.03801499082066373,2.5394850091793364,253948500.91793364,25394.850091793363,2.3775,0.036137168941061226,2.3413628310589387,234136283.10589388,23413.62831058939
6/20/2025,2.5075,1.620539723632267,0.8869602763677329,88696027.63677329,8869.602763677329,2.49,1.1161059764882237,1.3738940235117765,137389402.35117763,13738.940235117765,2.4585,0.8700442481974118,1.5884557518025881,158845575.1802588,15884.557518025882,2.4175,0.4860953773835732,1.9314046226164268,193140462.26164266,19314.046226164268,2.435,0.3472303029580306,2.0877696970419697,208776969.70419696,20877.696970419696,2.481,0.2645965072875567,2.216403492712443,221640349.2712443,22164.03492712443,2.5125,0.2120305838904839,2.3004694161095163,230046941.61095163,23004.69416109516,2.545,0.18042090733450733,2.3645790926654926,236457909.26654926,23645.790926654925,2.5775,0.15491228838232152,2.4225877116176786,242258771.16176787,24225.877116176787,2.605,0.13468599231621825,2.4703140076837817,247031400.76837817,24703.14007683782,2.63,0.12321209953959222,2.5067879004604077,250678790.04604077,25067.879004604078,2.66,0.10915975350317852,2.5508402464968216,255084024.64968216,25508.402464968218,2.6825,0.08437379789276922,2.598126202107231,259812620.2107231,25981.26202107231,2.675,0.06233961468472571,2.612660385315274,261266038.5315274,26126.603853152737,2.5625,0.037776888354128735,2.524723111645871,252472311.1645871,25247.23111645871,2.3725,0.03814991809875723,2.334350081901243,233435008.19012427,23343.500819012428
6/19/2025,2.515,1.6373813634853454,0.8776186365146548,87761863.65146548,8776.186365146548,2.5025,1.147239716126383,1.355260283873617,135526028.3873617,13552.60283873617,2.4825,0.8900242080545278,1.5924757919454722,159247579.1945472,15924.757919454722,2.4488,0.4861822583875517,1.9626177416124482,196261774.1612448,19626.177416124483,2.4675,0.3482271023949941,2.119272897605006,211927289.76050058,21192.72897605006,2.513,0.2636188237815462,2.2493811762184537,224938117.62184536,22493.811762184538,2.5425,0.21196740470202835,2.3305325952979716,233053259.52979717,23305.325952979718,2.575,0.17974827621265388,2.3952517237873465,239525172.37873465,23952.517237873464,2.605,0.153591676861363,2.451408323138637,245140832.3138637,24514.08323138637,2.63,0.13413030297364092,2.495869697026359,249586969.7026359,24958.69697026359,2.6535,0.1218045416786977,2.5316954583213027,253169545.83213028,25316.954583213028,2.68,0.10847751467887212,2.571522485321128,257152248.5321128,25715.22485321128,2.705,0.08523215640223714,2.6197678435977627,261976784.35977626,26197.67843597763,2.7,0.06234994277606276,2.6376500572239374,263765005.72239375,26376.500572239373,2.585,0.03757989070237899,2.547420109297621,254742010.9297621,25474.20109297621,2.39,0.03827255782498895,2.351727442175011,235172744.2175011,23517.274421750113
6/18/2025,2.5225,1.64048037738196,0.8820196226180399,88201962.26180398,8820.196226180398,2.51,1.1427899522649896,1.3672100477350102,136721004.773501,13672.100477350103,2.4875,0.8824407991929375,1.6050592008070623,160505920.08070624,16050.592008070624,2.44,0.483141372187893,1.956858627812107,195685862.7812107,19568.58627812107,2.458,0.3486387012550958,2.109361298744904,210936129.8744904,21093.612987449043,2.505,0.26598733348097103,2.239012666519029,223901266.6519029,22390.12666519029,2.54,0.2126223161633185,2.3273776838366818,232737768.38366818,23273.77683836682,2.5725,0.18048738198382974,2.39201261801617,239201261.801617,23920.1261801617,2.605,0.15389797100422808,2.4511020289957717,245110202.89957717,24511.020289957716,2.63,0.13464197060019,2.49535802939981,249535802.939981,24953.5802939981,2.655,0.12165526906622004,2.5333447309337798,253334473.09337798,25333.447309337796,2.68,0.1077378318959159,2.5722621681040843,257226216.8104084,25722.621681040844,2.703,0.08506175205289912,2.6179382479471007,261793824.79471007,26179.38247947101,2.6975,0.06247622245898787,2.635023777541012,263502377.7541012,26350.237775410118,2.5875,0.038130115912666795,2.549369884087333,254936988.4087333,25493.69884087333,2.3925,0.03704674813562914,2.355453251864371,235545325.1864371,23554.532518643708
6/17/2025,2.53,1.6230371315021803,0.9069628684978195,90696286.84978195,9069.628684978195,2.51,1.1244167253292021,1.3855832746707977,138558327.46707976,13855.832746707976,2.48,0.8667541626471409,1.613245837352859,161324583.7352859,16132.45837352859,2.415,0.4794568109226027,1.9355431890773973,193554318.90773973,19355.431890773973,2.4325,0.35038449307291386,2.082115506927086,208211550.6927086,20821.15506927086,2.4825,0.265168163627989,2.217331836372011,221733183.6372011,22173.31836372011,2.515,0.21277461630470906,2.302225383695291,230222538.3695291,23022.25383695291,2.55,0.18201342282997657,2.367986577170023,236798657.7170023,23679.86577170023,2.585,0.15425439194023882,2.430745608059761,243074560.80597612,24307.45608059761,2.6125,0.13830274516232954,2.4741972548376703,247419725.48376703,24741.972548376703,2.646,0.1218771614902574,2.5241228385097427,252412283.85097426,25241.228385097427,2.6675,0.10619385805650206,2.561306141943498,256130614.1943498,25613.06141943498,2.69,0.08535482417691598,2.6046451758230837,260464517.58230838,26046.451758230836,2.6825,0.06213339424840236,2.620366605751598,262036660.5751598,26203.66605751598,2.575,0.03858668474258198,2.536413315257418,253641331.5257418,25364.13315257418,2.3725,0.03475238839516903,2.337747611604831,233774761.1604831,23377.47611604831
6/16/2025,2.535,1.6182897640223106,0.9167102359776895,91671023.59776895,9167.102359776894,2.5125,1.1433584971566035,1.3691415028433966,136914150.28433967,13691.415028433967,2.49,0.8861330081018781,1.603866991898122,160386699.1898122,16038.66991898122,2.4475,0.4858270957002062,1.9616729042997936,196167290.42997935,19616.729042997937,2.4675,0.3457349628651234,2.1217650371348764,212176503.71348765,21217.650371348765,2.505,0.2613317441168803,2.2436682558831196,224366825.58831197,22436.682558831195,2.5325,0.21150404108737852,2.3209959589126217,232099595.89126217,23209.959589126218,2.564,0.18009614803875396,2.383903851961246,238390385.1961246,23839.038519612463,2.595,0.15326291808524628,2.441737081914754,244173708.1914754,24417.370819147538,2.62,0.13622178071719016,2.4837782192828097,248377821.92828098,24837.782192828097,2.648,0.1204137091639792,2.527586290836021,252758629.0836021,25275.86290836021,2.6675,0.10594096107613393,2.561559038923866,256155903.8923866,25615.59038923866,2.69,0.08578180691797654,2.6042181930820236,260421819.30820236,26042.181930820236,2.6875,0.06259996075451335,2.6249000392454866,262490003.92454866,26249.000392454866,2.5775,0.037925861718681064,2.539574138281319,253957413.82813188,25395.741382813187,2.3725,0.03640573459349872,2.3360942654065013,233609426.54065013,23360.942654065013
6/13/2025,2.5275,1.6220021808942175,0.9054978191057823,90549781.91057824,9054.978191057822,2.5075,1.129953262889054,1.3775467371109458,137754673.7110946,13775.467371109458,2.48,0.8784933830639257,1.6015066169360743,160150661.69360742,16015.066169360744,2.4375,0.48387804628473496,1.953621953715265,195362195.3715265,19536.21953715265,2.45,0.3433741241374264,2.1066258758625738,210662587.58625737,21066.258758625736,2.485,0.2584522805766625,2.2265477194233374,222654771.94233373,22265.477194233375,2.505,0.20945986871643751,2.2955401312835626,229554013.12835625,22955.401312835627,2.5355,0.181507812223211,2.3539921877767886,235399218.77767888,23539.921877767887,2.57,0.1542129172802451,2.4157870827197545,241578708.27197546,24157.870827197545,2.595,0.13461073994076544,2.4603892600592348,246038926.00592348,24603.892600592346,2.62,0.12177466579599017,2.49822533420401,249822533.420401,24982.253342040098,2.645,0.10767949537355159,2.5373205046264484,253732050.46264485,25373.205046264484,2.6675,0.08519035596824343,2.5823096440317563,258230964.40317562,25823.096440317564,2.665,0.06277658841920641,2.602223411580794,260222341.1580794,26022.23411580794,2.555,0.03764611618261782,2.5173538838173823,251735388.38173825,25173.538838173823,2.35,0.03698824151734348,2.3130117584826566,231301175.84826565,23130.117584826567
