Date,3m,6m,9m,1y,2y,3y,4y,5y,6y,7y,8y,9y,10y,12y,15y,20y,30y
2025-06-27,2.4497,2.438,2.4025,2.3894,2.3796999999999997,2.408,2.4515,2.4849999999999994,2.5179,2.5501000000000005,2.5789999999999997,2.6034,2.6273,2.6451999999999996,2.6235,2.5099,2.3977
2025-06-26,2.4426,2.4309,2.3982,2.3842,2.3744,2.4035999999999995,2.4431000000000003,2.4739999999999998,2.5058,2.5358000000000005,2.5623,2.5883,2.6069,2.6247,2.6030999999999995,2.4919999999999995,2.3824
2025-06-25,2.4541,2.4376999999999995,2.4059,2.396,2.3931999999999998,2.4285,2.4756000000000005,2.5088999999999997,2.5433,2.5753,2.6029,2.6288,2.6504999999999996,2.6685,2.6489,2.5351,2.4229
2025-06-24,2.4447,2.4302,2.3958,2.3891,2.3905999999999996,2.4256,2.4721,2.5035,2.5378,2.5703000000000005,2.5977,2.6227000000000005,2.6428000000000003,2.6608,2.6413,2.5275000000000003,2.4155
2025-06-23,2.4843,2.4641999999999995,2.4461,2.4399000000000006,2.4421,2.476,2.5192,2.5505999999999998,2.5833,2.6136,2.6393,2.6652999999999993,2.6889999999999996,2.7068999999999996,2.6872,2.5732,2.4607
2025-06-20,2.4542,2.4542,2.424,2.4119,2.4058,2.44,2.4857,2.5197999999999996,2.5539000000000005,2.5860999999999996,2.6136,2.6407,2.6662000000000003,2.6846,2.6697,2.5581,2.448
2025-06-19,2.4683,2.4714,2.4555999999999996,2.4452,2.4414,2.4749999999999996,2.5196,2.5517,2.5847,2.6141999999999994,2.6394,2.6641,2.6874,2.7080000000000006,2.6947,2.5809999999999995,2.4682
2025-06-18,2.4836,2.4827000000000004,2.4623000000000004,2.4445,2.4312,2.4651999999999994,2.5129,2.5491000000000006,2.5828,2.6142,2.6398,2.6652,2.6870999999999996,2.7059000000000006,2.6925000000000003,2.5837,2.4759
2025-06-17,2.4995,2.4843999999999995,2.4527999999999994,2.4268,2.4034,2.4384,2.4877,2.5232,2.5599,2.5942000000000003,2.6239,2.6546999999999996,2.6739,2.6923,2.6776,2.5713,2.466
2025-06-16,2.5096,2.4882,2.4662,2.4507,2.4406999999999996,2.4721999999999995,2.51,2.5406,2.5733,2.6036,2.6302,2.6563000000000003,2.6740000000000004,2.6928,2.6827,2.5737,2.466
2025-06-13,2.4945,2.4806,2.4527999999999994,2.4382,2.4265999999999996,2.4524999999999997,2.4864000000000006,2.5112999999999994,2.5446000000000004,2.5776000000000003,2.6033000000000004,2.629,2.6507999999999994,2.6697999999999995,2.6597,2.5507,2.4429
2025-06-12,2.4785,2.4288,2.4017,2.3891,2.3821,2.4131,2.454,2.4859,2.5216,2.5577000000000005,2.5858,2.6136,2.6382,2.657,2.6466,2.5380000000000003,2.4303
2025-06-11,2.4642,2.4075,2.3657,2.3587,2.3616,2.3988,2.441,2.4766,2.5163999999999995,2.5552,2.5869000000000004,2.6197,2.6454,2.6642000000000006,2.6520000000000006,2.5456000000000003,2.4404
2025-06-10,2.4794,2.3899000000000004,2.3456000000000006,2.3314,2.3260999999999994,2.3656999999999995,2.4135,2.4543,2.496,2.5364999999999998,2.5717999999999996,2.6044,2.6301999999999994,2.6491000000000002,2.6367000000000003,2.5280000000000005,2.4203
2025-06-09,2.4541,2.3697,2.3315,2.3153,2.3067,2.3466999999999993,2.3984,2.4425999999999997,2.4844,2.5223,2.5568,2.5904999999999996,2.6141,2.6309,2.6186,2.5074,2.3974
2025-06-06,2.449,2.3684,2.3308,2.3178,2.3145,2.3588,2.4160000000000004,2.4655,2.5070999999999994,2.5469999999999997,2.5843999999999996,2.6143,2.6399999999999997,2.6593,2.6467,2.5403000000000002,2.4351
2025-06-05,2.449,2.3683999999999994,2.3288,2.3157,2.313,2.359,2.4164,2.4657,2.5075000000000003,2.5452,2.5799,2.6143,2.64,2.6593,2.6467,2.5403000000000002,2.4351
2025-06-04,2.444,2.3609,2.3322,2.3243,2.3287,2.3730999999999995,2.4325,2.482,2.5249,2.5632,2.597,2.6318000000000006,2.6601,2.6766,2.6641999999999997,2.5528999999999997,2.4428
2025-06-03,2.3985,2.3179000000000003,2.2832,2.2744,2.2720000000000002,2.3069,2.3611,2.4067,2.4472,2.4865,2.5227999999999997,2.5526999999999997,2.575,2.5913,2.5765999999999996,2.4559,2.3365
2025-06-02,2.3986,2.3179,2.2819,2.2724,2.2702,2.3069,2.361,2.4068999999999994,2.4477,2.4844000000000004,2.5155000000000003,2.5474,2.5753,2.5931000000000006,2.5766,2.4558999999999997,2.3365
2025-05-30,2.3935,2.3147,2.2792,2.2709000000000006,2.2703,2.3065,2.3573,2.4018,2.4444,2.4818,2.5159,2.5521,2.5723000000000003,2.5895,2.5773,2.4662999999999995,2.3567
2025-05-29,2.3795,2.2918999999999996,2.266,2.2625,2.2704,2.3096999999999994,2.3577,2.4014,2.444,2.4836,2.5148000000000006,2.5439,2.5697,2.5871000000000004,2.5747,2.4638,2.3541
2025-05-28,2.4033,2.2868,2.2465,2.2415,2.2455,2.2789,2.3191,2.3537,2.392,2.4264,2.4568,2.4907,2.5097,2.5271000000000003,2.5152,2.4022999999999994,2.2908
2025-05-27,2.4545,2.3362000000000003,2.2915,2.2758,2.2645,2.2939,2.3324,2.3651999999999997,2.4029,2.4363999999999995,2.4664,2.4941000000000004,2.5137000000000005,2.5299,2.5178,2.4123,2.3081
2025-05-26,2.4607,2.3656000000000006,2.3149,2.2983,2.2872999999999997,2.3231999999999995,2.3721,2.4126,2.4523,2.4891,2.5214,2.5513,2.5703,2.5881,2.5812000000000004,2.473,2.3662
2025-05-23,2.4656,2.3693,2.3176,2.2923,2.2704,2.3082,2.3623,2.4069,2.446,2.4832,2.5120000000000005,2.5397,2.5651999999999995,2.583,2.5758,2.4627,2.3508
2025-05-22,2.4388,2.3455,2.2972,2.2766,2.2609,2.3001999999999994,2.3539,2.3944,2.4352,2.4728000000000003,2.5021,2.5302,2.5524999999999998,2.5706999999999995,2.5586,2.4631,2.3685
2025-05-21,2.4618,2.3624,2.3116,2.2976999999999994,2.289,2.3231999999999995,2.3739,2.4154999999999998,2.4564000000000004,2.4935,2.5227,2.5515,2.5756,2.5935,2.5796999999999994,2.4887999999999995,2.3988
2025-05-20,2.4545,2.3617,2.3142,2.296,2.2805,2.3089,2.3516000000000004,2.3887,2.4299000000000004,2.4667000000000003,2.4934,2.5209,2.5443,2.5615000000000006,2.549,2.4608999999999996,2.3737
2025-05-19,2.4394,2.3567000000000005,2.3181,2.3076,2.3014000000000006,2.3297,2.3731,2.4107,2.452,2.4894,2.5189000000000004,2.5476000000000005,2.5716,2.5885000000000002,2.5764999999999993,2.4883,2.4012
2025-05-16,2.4444,2.3467000000000002,2.2913,2.2683,2.2461,2.273,2.3110000000000004,2.3446,2.3839,2.419,2.4456,2.4716,2.4948,2.5121999999999995,2.5001,2.4095999999999997,2.3202
