Dates,usdkrw
6/27/2025,1360.05
6/26/2025,1353.55
6/25/2025,1361.6
6/24/2025,1359.25
6/23/2025,1382.35
6/20/2025,1370.75
6/19/2025,1380.3
6/18/2025,1373.25
6/17/2025,1372.9
6/16/2025,1359.1
6/13/2025,1363.25
6/12/2025,1356.3
6/11/2025,1369.05
6/10/2025,1367.05
6/9/2025,1354.9
6/6/2025,1355.75
6/5/2025,1355.75
6/4/2025,1364.85
6/3/2025,1379.15
6/2/2025,1379.15
5/30/2025,1382.6
5/29/2025,1370.9
5/28/2025,1375.2
5/27/2025,1376.4
5/26/2025,1370.4
5/23/2025,1366
5/22/2025,1383
5/21/2025,1371.4
5/20/2025,1394
5/19/2025,1390.7
5/16/2025,1401.75
5/15/2025,1398.55
5/14/2025,1403.5
5/13/2025,1415.8
5/12/2025,1418.3
5/9/2025,1398.1
5/8/2025,1404.95
5/7/2025,1392.15
5/6/2025,1401.1
5/5/2025,1401.1
5/2/2025,1401.1
5/1/2025,1424.3
4/30/2025,1424.3
4/29/2025,1434.25
4/28/2025,1436.45
4/25/2025,1440.2
4/24/2025,1433.05
4/23/2025,1427.1
4/22/2025,1425.65
4/21/2025,1420.35
4/18/2025,1423.8
4/17/2025,1416.55
4/16/2025,1415.9
4/15/2025,1428.25
4/14/2025,1424.35
4/11/2025,1421.6
4/10/2025,1457.1
4/9/2025,1472.05
4/8/2025,1480.65
4/7/2025,1472
4/4/2025,1462.15
4/3/2025,1451.2
4/2/2025,1462.7
4/1/2025,1472.15
3/31/2025,1472.9
3/28/2025,1469.4
3/27/2025,1465.05
3/26/2025,1468.05
3/25/2025,1463.15
3/24/2025,1469.15
3/21/2025,1465.75
3/20/2025,1467.75
3/19/2025,1463.5
3/18/2025,1451.45
3/17/2025,1444.55
3/14/2025,1453.35
3/13/2025,1455.35
3/12/2025,1451.65
3/11/2025,1454.15
3/10/2025,1455.1
3/7/2025,1449.45
3/6/2025,1447.55
3/5/2025,1445.5
3/4/2025,1458.95
3/3/2025,1460.25
2/28/2025,1460.25
2/27/2025,1446.75
2/26/2025,1433.4
2/25/2025,1433.95
2/24/2025,1430.15
2/21/2025,1434.05
2/20/2025,1435.7
2/19/2025,1441.95
2/18/2025,1440.65
2/17/2025,1442.6
2/14/2025,1441.05
2/13/2025,1448.45
2/12/2025,1455.25
2/11/2025,1452.7
2/10/2025,1451.7
2/7/2025,1448.75
2/6/2025,1447.25
2/5/2025,1444
2/4/2025,1450.75
2/3/2025,1462.4
1/31/2025,1454.3
1/30/2025,1430.5
1/29/2025,1430.5
1/28/2025,1430.5
1/27/2025,1430.5
1/24/2025,1430.5
1/23/2025,1435.25
1/22/2025,1435.95
1/21/2025,1435.7
1/20/2025,1440.25
1/17/2025,1457.35
1/16/2025,1458.25
1/15/2025,1455.75
1/14/2025,1461.25
1/13/2025,1467.9
1/10/2025,1471.3
1/9/2025,1459.75
1/8/2025,1460.55
1/7/2025,1451.75
1/6/2025,1460.55
1/3/2025,1470.85
1/2/2025,1471.35
1/1/2025,1471.95
12/31/2024,1471.95
12/30/2024,1471.95
12/27/2024,1470.9
12/26/2024,1470.55
12/25/2024,1458.05
12/24/2024,1458.05
12/23/2024,1451.65
12/20/2024,1447.15
12/19/2024,1447.15
12/18/2024,1438.95
12/17/2024,1437.25
12/16/2024,1436.85
12/13/2024,1435.45
12/12/2024,1431
12/11/2024,1429.85
12/10/2024,1431.75
12/9/2024,1430.95
12/6/2024,1423.4
12/5/2024,1416.6
12/4/2024,1413.5
12/3/2024,1428.5
12/2/2024,1404.15
11/29/2024,1397.2
11/28/2024,1394.55
11/27/2024,1391.5
11/26/2024,1396.7
11/25/2024,1399.9
11/22/2024,1406
11/21/2024,1398.6
11/20/2024,1400.45
11/19/2024,1392.8
11/18/2024,1396.4
11/15/2024,1398.45
11/14/2024,1401.6
11/13/2024,1404
11/12/2024,1408.15
11/11/2024,1401.4
11/8/2024,1395.9
11/7/2024,1386.3
11/6/2024,1400.75
11/5/2024,1380.05
11/4/2024,1375.95
11/1/2024,1378.55
10/31/2024,1376.95
10/30/2024,1379.6
10/29/2024,1386
10/28/2024,1384.15
10/25/2024,1390.1
10/24/2024,1380.55
10/23/2024,1382.3
10/22/2024,1377.3
10/21/2024,1378.2
10/18/2024,1368.8
10/17/2024,1372.5
10/16/2024,1364.55
10/15/2024,1364.8
10/14/2024,1357.8
10/11/2024,1350.95
10/10/2024,1354
10/9/2024,1346.3
10/8/2024,1346.3
10/7/2024,1344.25
10/4/2024,1348.2
10/3/2024,1322.95
10/2/2024,1322.95
10/1/2024,1314.7
9/30/2024,1314.7
9/27/2024,1310.55
9/26/2024,1317.35
9/25/2024,1335.5
9/24/2024,1331.3
9/23/2024,1335.25
9/20/2024,1335.2
9/19/2024,1329.05
9/18/2024,1333.55
9/17/2024,1333.55
9/16/2024,1333.55
9/13/2024,1333.55
9/12/2024,1342
9/11/2024,1340.3
9/10/2024,1344
9/9/2024,1342
9/6/2024,1335
9/5/2024,1334.55
9/4/2024,1335.5
9/3/2024,1341.9
9/2/2024,1338.35
8/30/2024,1337.8
8/29/2024,1331.55
8/28/2024,1336.35
8/27/2024,1331.6
8/26/2024,1329.35
8/23/2024,1330
8/22/2024,1343.25
8/21/2024,1333.8
8/20/2024,1330.75
8/19/2024,1334
8/16/2024,1351.75
8/15/2024,1360.8
8/14/2024,1360.8
8/13/2024,1366.4
8/12/2024,1370.2
8/9/2024,1365.1
8/8/2024,1377.4
8/7/2024,1374.8
8/6/2024,1377.8
8/5/2024,1368.9
8/2/2024,1361.15
8/1/2024,1369.65
7/31/2024,1371.2
7/30/2024,1384.45
7/29/2024,1382.85
7/26/2024,1383.95
7/25/2024,1383.15
7/24/2024,1379.95
7/23/2024,1386.1
7/22/2024,1388.45
7/19/2024,1390.65
7/18/2024,1383.55
7/17/2024,1380.2
7/16/2024,1385.5
7/15/2024,1383.55
7/12/2024,1375.35
7/11/2024,1372.35
7/10/2024,1384
7/9/2024,1383.5
7/8/2024,1383.45
7/5/2024,1380.95
7/4/2024,1381.05
7/3/2024,1386.4
7/2/2024,1386.85
7/1/2024,1383.75
6/28/2024,1376.5
6/27/2024,1385.9
6/26/2024,1388.75
6/25/2024,1387.4
6/24/2024,1389.1
6/21/2024,1388.25
6/20/2024,1384.65
6/19/2024,1381.75
6/18/2024,1381.2
6/17/2024,1381.15
6/14/2024,1379.25
6/13/2024,1373.9
6/12/2024,1376.1
6/11/2024,1378.3
6/10/2024,1376.05
6/7/2024,1365.5
6/6/2024,1372.95
6/5/2024,1372.95
6/4/2024,1376.05
6/3/2024,1376.1
5/31/2024,1385
5/30/2024,1379.45
5/29/2024,1364.9
5/28/2024,1358.35
5/27/2024,1363.85
5/24/2024,1369.45
5/23/2024,1362.35
5/22/2024,1362.85
5/21/2024,1363.3
5/20/2024,1355.85
5/17/2024,1355.15
5/16/2024,1345.1
5/15/2024,1369.15
5/14/2024,1369.15
5/13/2024,1368.25
5/10/2024,1368.05
5/9/2024,1370
5/8/2024,1362.75
5/7/2024,1359.95
5/6/2024,1363
