Dates,KWCDC CMPN Curncy,KWSWNIF BGN Curncy,KWSWNII BGN Curncy,KWSWNI1 BGN Curncy,KWSWNI2 BGN Curncy,KWSWNI3 BGN Curncy,KWSWNI4 BGN Curncy,KWSWNI5 BGN Curncy,KWSWNI6 BGN Curncy,KWSWNI7 BGN Curncy,KWSWNI8 BGN Curncy,KWSWNI9 BGN Curncy,KWSWNI10 BGN Curncy,KWSWNI12 BGN Curncy,KWSWNI15 BGN Curncy,KWSWNI20 BGN Curncy,KWSWO30 BGN Curncy
6/27/2025,2.4497,2.438,2.4025,2.3894,2.3797,2.408,2.4515,2.485,2.5179,2.5501,2.579,2.6034,2.6273,2.6452,2.6235,2.5099,2.3977
6/26/2025,2.4426,2.4309,2.3982,2.3842,2.3744,2.4036,2.4431,2.474,2.5058,2.5358,2.5623,2.5883,2.6069,2.6247,2.6031,2.492,2.3824
6/25/2025,2.4541,2.4377,2.4059,2.396,2.3932,2.4285,2.4756,2.5089,2.5433,2.5753,2.6029,2.6288,2.6505,2.6685,2.6489,2.5351,2.4229
6/24/2025,2.4447,2.4302,2.3958,2.3891,2.3906,2.4256,2.4721,2.5035,2.5378,2.5703,2.5977,2.6227,2.6428,2.6608,2.6413,2.5275,2.4155
6/23/2025,2.4843,2.4642,2.4461,2.4399,2.4421,2.476,2.5192,2.5506,2.5833,2.6136,2.6393,2.6653,2.689,2.7069,2.6872,2.5732,2.4607
6/20/2025,2.4542,2.4542,2.424,2.4119,2.4058,2.44,2.4857,2.5198,2.5539,2.5861,2.6136,2.6407,2.6662,2.6846,2.6697,2.5581,2.448
6/19/2025,2.4683,2.4714,2.4556,2.4452,2.4414,2.475,2.5196,2.5517,2.5847,2.6142,2.6394,2.6641,2.6874,2.708,2.6947,2.581,2.4682
6/18/2025,2.4836,2.4827,2.4623,2.4445,2.4312,2.4652,2.5129,2.5491,2.5828,2.6142,2.6398,2.6652,2.6871,2.7059,2.6925,2.5837,2.4759
6/17/2025,2.4995,2.4844,2.4528,2.4268,2.4034,2.4384,2.4877,2.5232,2.5599,2.5942,2.6239,2.6547,2.6739,2.6923,2.6776,2.5713,2.466
6/16/2025,2.5096,2.4882,2.4662,2.4507,2.4407,2.4722,2.51,2.5406,2.5733,2.6036,2.6302,2.6563,2.674,2.6928,2.6827,2.5737,2.466
6/13/2025,2.4945,2.4806,2.4528,2.4382,2.4266,2.4525,2.4864,2.5113,2.5446,2.5776,2.6033,2.629,2.6508,2.6698,2.6597,2.5507,2.4429
6/12/2025,2.4785,2.4288,2.4017,2.3891,2.3821,2.4131,2.454,2.4859,2.5216,2.5577,2.5858,2.6136,2.6382,2.657,2.6466,2.538,2.4303
