Dates,KWCDC CMPN Curncy,KWSWNIF BGN Curncy,KWSWNII BGN Curncy,KWSWNI1 BGN Curncy,KWSWNI2 BGN Curncy,KWSWNI3 BGN Curncy,KWSWNI4 BGN Curncy,KWSWNI5 BGN Curncy,KWSWNI6 BGN Curncy,KWSWNI7 BGN Curncy,KWSWNI8 BGN Curncy,KWSWNI9 BGN Curncy,KWSWNI10 BGN Curncy,KWSWNI12 BGN Curncy,KWSWNI15 BGN Curncy,KWSWNI20 BGN Curncy,KWSWO30 BGN Curncy
6/27/2025,2.57,2.51,2.4825,2.445,2.398,2.408,2.45,2.48,2.5115,2.5425,2.5725,2.595,2.6225,2.645,2.63,2.515,2.3325
6/26/2025,2.57,2.5075,2.48,2.4425,2.393,2.405,2.443,2.47,2.5,2.53,2.555,2.582,2.6025,2.625,2.61,2.4975,2.3175
6/25/2025,2.57,2.5125,2.4825,2.4475,2.4075,2.425,2.4725,2.5025,2.5355,2.5675,2.595,2.62,2.645,2.6675,2.655,2.54,2.3425
6/24/2025,2.57,2.5075,2.4775,2.44,2.405,2.4225,2.47,2.4975,2.53,2.5625,2.59,2.615,2.6375,2.66,2.6475,2.5325,2.3325
6/23/2025,2.57,2.5275,2.5,2.4775,2.45,2.47,2.514,2.5425,2.574,2.605,2.63,2.655,2.6825,2.705,2.6925,2.5775,2.3775
6/20/2025,2.56,2.5075,2.49,2.4585,2.4175,2.435,2.481,2.5125,2.545,2.5775,2.605,2.63,2.66,2.6825,2.675,2.5625,2.3775
6/19/2025,2.56,2.515,2.5025,2.4825,2.4488,2.4675,2.513,2.5425,2.575,2.605,2.63,2.6535,2.68,2.705,2.7,2.585,2.39
6/18/2025,2.56,2.5225,2.51,2.4875,2.44,2.458,2.505,2.54,2.5725,2.605,2.63,2.655,2.68,2.703,2.6975,2.5875,2.395
6/17/2025,2.56,2.53,2.51,2.48,2.415,2.4325,2.4825,2.515,2.55,2.585,2.6125,2.646,2.6675,2.69,2.6825,2.575,2.3775
6/16/2025,2.56,2.535,2.5125,2.49,2.4475,2.4675,2.505,2.5325,2.564,2.595,2.62,2.648,2.6675,2.69,2.6875,2.5775,2.3725
6/13/2025,2.56,2.5275,2.5075,2.48,2.4375,2.45,2.485,2.505,2.5355,2.57,2.595,2.62,2.645,2.6675,2.665,2.555,2.35
6/12/2025,2.56,2.52,2.475,2.4425,2.3975,2.4125,2.452,2.48,2.5125,2.55,2.5775,2.604,2.6325,2.655,2.6525,2.5425,2.34
6/11/2025,2.57,2.5175,2.4625,2.4175,2.378,2.4,2.44,2.47,2.5075,2.5475,2.5775,2.61,2.64,2.6625,2.6575,2.55,2.345
6/10/2025,2.56,2.52,2.4475,2.4,2.345,2.3675,2.412,2.4475,2.4875,2.5275,2.5625,2.595,2.625,2.6475,2.6425,2.5325,2.33
6/9/2025,2.57,2.5125,2.4375,2.392,2.33,2.35,2.397,2.4375,2.4775,2.515,2.5475,2.5825,2.61,2.63,2.625,2.5125,2.3175
6/6/2025,2.58,2.515,2.44,2.394,2.337,2.36,2.412,2.46,2.4995,2.5375,2.576,2.605,2.635,2.658,2.6525,2.545,2.3425
6/5/2025,2.58,2.515,2.44,2.3925,2.335,2.36,2.4125,2.46,2.5,2.5375,2.57,2.605,2.635,2.658,2.6525,2.545,2.3425
6/4/2025,2.58,2.5125,2.435,2.395,2.35,2.3725,2.4275,2.475,2.5165,2.555,2.5875,2.621,2.655,2.675,2.67,2.5575,2.3175
6/3/2025,2.59,2.495,2.41,2.361,2.305,2.315,2.3625,2.405,2.4428,2.48,2.517,2.547,2.5725,2.592,2.585,2.4625,2.2325
6/2/2025,2.59,2.495,2.41,2.36,2.3025,2.315,2.3625,2.405,2.4435,2.48,2.51,2.54,2.5725,2.594,2.585,2.4625,2.2325
5/30/2025,2.59,2.4925,2.4075,2.358,2.3025,2.315,2.36,2.4,2.44,2.4775,2.5075,2.547,2.57,2.59,2.585,2.4725,2.2375
5/29/2025,2.6,2.49,2.395,2.35,2.303,2.32,2.361,2.4,2.4395,2.48,2.51,2.5375,2.5675,2.588,2.5825,2.47,2.2275
5/28/2025,2.63,2.5175,2.4025,2.3438,2.2875,2.2963,2.33,2.3575,2.3925,2.4275,2.4525,2.489,2.51,2.53,2.525,2.41,2.17
5/27/2025,2.66,2.5575,2.445,2.385,2.3075,2.313,2.345,2.37,2.405,2.4375,2.465,2.493,2.5148,2.5335,2.5275,2.42,2.14
5/26/2025,2.67,2.565,2.4675,2.405,2.3275,2.3375,2.38,2.415,2.4515,2.4875,2.5175,2.549,2.57,2.59,2.59,2.48,2.17
5/23/2025,2.67,2.5675,2.47,2.407,2.3125,2.3225,2.369,2.41,2.445,2.4825,2.51,2.5355,2.565,2.585,2.585,2.47,2.1675
5/22/2025,2.67,2.5575,2.4575,2.393,2.305,2.315,2.363,2.3975,2.4345,2.4725,2.5,2.5275,2.5525,2.5735,2.5675,2.47,2.1575
5/21/2025,2.67,2.565,2.465,2.4025,2.33,2.337,2.3813,2.4175,2.455,2.4925,2.52,2.5475,2.575,2.596,2.5875,2.495,2.1725
5/20/2025,2.68,2.5675,2.4675,2.407,2.325,2.3275,2.363,2.3925,2.43,2.4675,2.4925,2.5185,2.545,2.565,2.5575,2.4675,2.1475
5/19/2025,2.71,2.575,2.475,2.4175,2.3475,2.3488,2.385,2.415,2.4525,2.49,2.5175,2.545,2.5725,2.592,2.585,2.495,2.1775
5/16/2025,2.7,2.5725,2.465,2.395,2.298,2.2975,2.3275,2.3525,2.3875,2.4225,2.4475,2.471,2.4975,2.5173,2.51,2.4175,2.115
5/15/2025,2.69,2.5775,2.4725,2.407,2.321,2.33,2.365,2.395,2.43,2.465,2.4875,2.5175,2.5425,2.56,2.5525,2.46,2.16
5/14/2025,2.67,2.5725,2.465,2.396,2.3175,2.33,2.36,2.3925,2.4271,2.46,2.49,2.511,2.5398,2.5575,2.5475,2.4575,2.1625
5/13/2025,2.68,2.5625,2.4525,2.3825,2.325,2.3375,2.3725,2.405,2.435,2.465,2.492,2.516,2.5398,2.555,2.55,2.4575,2.1575
5/12/2025,2.66,2.555,2.4375,2.3575,2.29,2.274,2.3075,2.335,2.3665,2.4025,2.43,2.455,2.4775,2.4965,2.49,2.39,2.095
5/9/2025,2.68,2.57,2.45,2.365,2.2775,2.2675,2.295,2.32,2.3513,2.385,2.415,2.4365,2.46,2.479,2.4675,2.37,2.0625
