Dates,Spot Rate (0.5yr Tenor)
6/26/2025,2.5075
6/25/2025,2.5125
6/24/2025,2.5075
6/23/2025,2.5275
6/20/2025,2.5075
6/19/2025,2.515
6/18/2025,2.5225
6/17/2025,2.53
6/16/2025,2.535
6/13/2025,2.5275
6/12/2025,2.52
6/11/2025,2.5175
6/10/2025,2.52
6/9/2025,2.5125
6/6/2025,2.515
6/5/2025,2.515
6/4/2025,2.5125
6/3/2025,2.495
6/2/2025,2.495
5/30/2025,2.4925
5/29/2025,2.49
5/28/2025,2.5175
5/27/2025,2.5575
5/26/2025,2.565
5/23/2025,2.5675
5/22/2025,2.5575
5/21/2025,2.565
5/20/2025,2.5675
5/19/2025,2.575
5/16/2025,2.5725
5/15/2025,2.5775
5/14/2025,2.5725
5/13/2025,2.5625
5/12/2025,2.555
5/9/2025,2.57
5/8/2025,2.5581
5/7/2025,2.55
5/6/2025,2.5725
5/5/2025,2.5725
5/2/2025,2.5725
5/1/2025,2.5675
4/30/2025,2.5675
4/29/2025,2.58
4/28/2025,2.575
4/25/2025,2.5875
4/24/2025,2.6075
4/23/2025,2.6075
4/22/2025,2.5925
4/21/2025,2.5925
4/18/2025,2.595
4/17/2025,2.5975
4/16/2025,2.57
4/15/2025,2.5725
4/14/2025,2.57
4/11/2025,2.5825
4/10/2025,2.6075
4/9/2025,2.6075
4/8/2025,2.63
4/7/2025,2.63
4/4/2025,2.685
4/3/2025,2.7163
4/2/2025,2.7475
4/1/2025,2.755
3/31/2025,2.75
3/28/2025,2.77
3/27/2025,2.78
3/26/2025,2.78
3/25/2025,2.7725
3/24/2025,2.765
3/21/2025,2.7625
3/20/2025,2.7625
3/19/2025,2.7675
3/18/2025,2.7625
3/17/2025,2.7625
3/14/2025,2.7625
3/13/2025,2.755
3/12/2025,2.745
3/11/2025,2.7525
3/10/2025,2.7575
3/7/2025,2.74
3/6/2025,2.7575
3/5/2025,2.76
3/4/2025,2.765
3/3/2025,2.7825
2/28/2025,2.7825
2/27/2025,2.77
2/26/2025,2.8
2/25/2025,2.8
2/24/2025,2.815
2/21/2025,2.8178
2/20/2025,2.85
2/19/2025,2.875
2/18/2025,2.8875
2/17/2025,2.895
2/14/2025,2.8875
2/13/2025,2.885
2/12/2025,2.895
2/11/2025,2.89
2/10/2025,2.8925
2/7/2025,2.8975
2/6/2025,2.8825
2/5/2025,2.8775
2/4/2025,2.87
2/3/2025,2.86
1/31/2025,2.8625
1/30/2025,2.8625
1/29/2025,2.8625
1/28/2025,2.8625
1/27/2025,2.8625
1/24/2025,2.8625
1/23/2025,2.8625
1/22/2025,2.8775
1/21/2025,2.85
1/20/2025,2.87
1/17/2025,2.8675
1/16/2025,2.9025
1/15/2025,2.91
1/14/2025,2.91
1/13/2025,2.925
1/10/2025,2.905
1/9/2025,2.875
1/8/2025,2.8975
1/7/2025,2.9325
1/6/2025,2.965
1/3/2025,3.01
1/2/2025,3.0625
1/1/2025,3.1875
12/31/2024,3.1875
12/30/2024,3.18
12/27/2024,3.165
12/26/2024,3.1675
12/25/2024,3.16
12/24/2024,3.16
12/23/2024,3.145
12/20/2024,3.1425
12/19/2024,3.14
